generation,best_fitness,avg_fitness
0,0.11753333333333334,0.09906133333333333
1,0.13591666666666666,0.09930574999999997
2,0.18331666666666666,0.09970766666666667
3,0.18331666666666666,0.09994041666666664
4,0.18331666666666666,0.09964358333333333
5,0.18331666666666666,0.09878925
6,0.20175,0.10028559463986597
7,0.20175,0.09934583333333333
8,0.20175,0.1007985
9,0.20175,0.1012936152570481
10,0.22676666666666667,0.10291683250414592
11,0.22676666666666667,0.10029275
12,0.22676666666666667,0.09951874999999999
13,0.22676666666666667,0.10449303482587063
14,0.22676666666666667,0.10421293532338308
15,0.22676666666666667,0.10483300165837478
16,0.22676666666666667,0.10423208955223878
17,0.22676666666666667,0.1062784757118928
18,0.22676666666666667,0.1046718592964824
19,0.22676666666666667,0.1016685
20,0.22945,0.10912191666666667
21,0.22945,0.10925107794361524
22,0.22945,0.107664
23,0.22945,0.10647516666666668
24,0.22945,0.11124603960396039
25,0.22945,0.10924552238805968
26,0.22945,0.11228558333333333
27,0.22945,0.11396008333333332
28,0.22945,0.10751033333333332
29,0.22945,0.11082386934673365
30,0.22945,0.11202479270315092
31,0.22945,0.11213392255892256
32,0.22945,0.11234489112227805
33,0.22956666666666667,0.1107219734660033
34,0.2297,0.1131427031509121
35,0.2297,0.10990611390284756
36,0.2297,0.11355108877721942
37,0.2297,0.1137917910447761
38,0.2297,0.11567561576354679
39,0.2297,0.11252983333333333
40,0.2297,0.11286806930693068
41,0.2297,0.11462920792079206
42,0.23205,0.11169310344827585
43,0.23205,0.11343681592039802
44,0.23205,0.11317583333333334
45,0.23205,0.11260754560530678
46,0.23205,0.11256500829187395
47,0.23205,0.1161955223880597
48,0.23205,0.11141516666666665
49,0.23205,0.11233583333333332
50,0.23205,0.11233933333333333
51,0.23205,0.11171751269035533
52,0.23205,0.11617138047138044
53,0.23205,0.11370770519262982
54,0.23423333333333332,0.11160804311774461
55,0.23423333333333332,0.11629233333333332
56,0.23423333333333332,0.11752775
57,0.23423333333333332,0.11201155778894471
58,0.2573166666666667,0.11639891122278055
59,0.2573166666666667,0.11498442211055274
60,0.2573166666666667,0.12322824999999998
61,0.2573166666666667,0.11855075
62,0.2573166666666667,0.12554355108877718
63,0.2573166666666667,0.1166809286898839
64,0.2573166666666667,0.11208408710217754
65,0.2573166666666667,0.11806649831649832
66,0.2573166666666667,0.11260175879396984
67,0.2573166666666667,0.11717383333333334
68,0.2573166666666667,0.12044112227805695
69,0.2573166666666667,0.116586815920398
70,0.2573166666666667,0.11389187396351574
71,0.2573166666666667,0.11322064676616916
72,0.2573166666666667,0.11497363184079602
73,0.2573166666666667,0.1232987623762376
74,0.2573166666666667,0.11521559405940593
75,0.2573166666666667,0.11892183333333332
76,0.2573166666666667,0.12011058333333331
77,0.2573166666666667,0.11280771144278605
78,0.2573166666666667,0.12077178217821781
79,0.2573166666666667,0.11652013201320133
80,0.2573166666666667,0.1171941127694859
81,0.2573166666666667,0.11627041666666665
82,0.2573166666666667,0.11901741293532338
83,0.2573166666666667,0.11674344941956882
84,0.2573166666666667,0.11223799999999999
85,0.2573166666666667,0.11479701492537313
86,0.2573166666666667,0.10925583333333332
87,0.2573166666666667,0.11327236180904522
88,0.2573166666666667,0.111062271973466
89,0.2573166666666667,0.11624353233830846
90,0.2573166666666667,0.11529266666666665
91,0.2573166666666667,0.11362822445561137
92,0.2573166666666667,0.11152516835016835
93,0.2573166666666667,0.11395374999999999
94,0.2573166666666667,0.11193718592964823
95,0.2573166666666667,0.11037124999999999
96,0.2573166666666667,0.10618117744610281
97,0.2573166666666667,0.10706625207296849
98,0.2573166666666667,0.10965201005025124
99,0.2573166666666667,0.10971359867330015
100,0.2573166666666667,0.10582758333333335
101,0.2573166666666667,0.10286733333333332
102,0.2573166666666667,0.10210899999999999
103,0.2573166666666667,0.09877074999999999
104,0.2573166666666667,0.10294633333333333
105,0.2573166666666667,0.10114058333333333
106,0.2573166666666667,0.10344999999999999
107,0.2573166666666667,0.10378591666666664
108,0.2573166666666667,0.10538433333333332
109,0.2573166666666667,0.10245608333333334
110,0.2573166666666667,0.104370770519263
111,0.2573166666666667,0.10451091666666665
112,0.2573166666666667,0.10338324999999998
113,0.2573166666666667,0.10456233333333331
114,0.2573166666666667,0.10438049999999999
115,0.2573166666666667,0.10466733668341707
116,0.2573166666666667,0.1040827470686767
117,0.2573166666666667,0.10174174999999998
118,0.2573166666666667,0.10237091666666666
119,0.2573166666666667,0.10622158333333331
120,0.2573166666666667,0.10634791666666665
121,0.2573166666666667,0.10416127694859038
122,0.2573166666666667,0.10691459369817577
123,0.27926666666666666,0.10415366666666666
124,0.27926666666666666,0.10041791666666666
125,0.27926666666666666,0.10667924999999999
126,0.27926666666666666,0.1030294807370184
127,0.27926666666666666,0.10117708333333333
128,0.27926666666666666,0.1056860696517413
129,0.27926666666666666,0.10636724999999998
130,0.27926666666666666,0.10833408333333332
131,0.27926666666666666,0.10503006700167503
132,0.27926666666666666,0.10602625
133,0.27926666666666666,0.10866901172529311
134,0.28163333333333335,0.10948916666666665
135,0.28163333333333335,0.10636616415410384
136,0.28163333333333335,0.1036150912106136
137,0.28163333333333335,0.10664402985074625
138,0.28163333333333335,0.10347794361525701
139,0.28163333333333335,0.10433484087102175
140,0.28163333333333335,0.10308866666666666
141,0.28163333333333335,0.10367183333333334
142,0.28163333333333335,0.10394941666666666
143,0.28163333333333335,0.10688666666666666
144,0.28163333333333335,0.10500924999999998
145,0.28163333333333335,0.10689765494137353
146,0.28163333333333335,0.10600083752093802
147,0.28163333333333335,0.10784683333333332
148,0.28163333333333335,0.10891825795644888
149,0.28163333333333335,0.1053465661641541
150,0.28163333333333335,0.1042015
151,0.28163333333333335,0.10656141666666667
152,0.28163333333333335,0.1086077889447236
153,0.28163333333333335,0.11119187604690114
154,0.28163333333333335,0.10461649999999999
155,0.28163333333333335,0.10513658333333334
156,0.28163333333333335,0.10649751243781094
157,0.28163333333333335,0.1069219734660033
158,0.28163333333333335,0.10181033333333332
159,0.28163333333333335,0.10598902847571187
160,0.28163333333333335,0.10720208333333332
161,0.28163333333333335,0.10245991666666665
162,0.28163333333333335,0.10434808333333333
163,0.28163333333333335,0.10146383333333332
164,0.28163333333333335,0.10909541666666665
165,0.28163333333333335,0.10549416666666665
166,0.28163333333333335,0.10715745393634839
167,0.28163333333333335,0.10713774999999998
168,0.28163333333333335,0.10689693200663347
169,0.28163333333333335,0.10781824999999998
170,0.28163333333333335,0.10678266666666665
171,0.28163333333333335,0.10321516666666668
172,0.28163333333333335,0.10793525963149078
173,0.28163333333333335,0.10372624999999999
174,0.28163333333333335,0.10448980099502488
175,0.28163333333333335,0.10619174999999999
176,0.28163333333333335,0.10102349999999999
177,0.28163333333333335,0.10766416666666664
178,0.28163333333333335,0.1040539800995025
179,0.28163333333333335,0.10882197346600331
180,0.28163333333333335,0.10390115511551155
181,0.28163333333333335,0.10222313432835821
182,0.28163333333333335,0.10916186868686868
183,0.28163333333333335,0.10844724999999998
184,0.28163333333333335,0.11033816666666665
185,0.28163333333333335,0.11334535655058041
186,0.28163333333333335,0.10631039603960395
187,0.28163333333333335,0.10636891666666667
188,0.28163333333333335,0.11611075
189,0.28163333333333335,0.10755353535353536
190,0.28163333333333335,0.11049430485762145
191,0.28163333333333335,0.11041053067993364
192,0.28163333333333335,0.10818375
193,0.28163333333333335,0.11227570480928689
194,0.28163333333333335,0.10810174129353231
195,0.28163333333333335,0.11006053067993365
196,0.28163333333333335,0.10509842454394693
197,0.28163333333333335,0.1108344884488449
198,0.28163333333333335,0.10941864686468647
199,0.28163333333333335,0.109686815920398
